Q_ID,short_id,en,QTYPE,cat,el,esp,hr,ita,pt,slo,ro
1,age,How old are you?,single select,1. Quina edat tens?,1. Πόσο χρονών είστε;,1. ¿Cuántos años tienes?,1. Koliko imate godina?,1. Quanti anni hai?,1. Que idade tens?,1. 1.	Koliko ste stari?,1. Ce vârstă ai?
2,gender,What's your gender identity?,single select,2. Identitat de gènere:,2. Ταυτότητα φύλου:,2. ¿Con qué género te identificas?,2. Koji je vaš rodni identitet?,2. In che genere ti identifichi?,2. Qual é a tua identidade de género?,2. Spolna identiteta:,2. Cum te identifici din punct de vedere al genului?
3,location,Where do you live?,free text,3. On vius?,3. Πού ζείτε;,3. ¿Dónde vives?,3. Gdje živite?,3. Dove vivi?,3. Onde vives?,3. Kje živite?,3. Unde locuiești?
4,occupation,What are you currently involved with?,multi select,4. A què et dediques actualment?,4. Με τι ασχολείστε αυτήν την περίοδο;,4. ¿A qué te dedicas actualmente?,4. Čime se trenutno bavite?,4. Qual è la tua occupazione?,4. O que fazes agora?,4. S čim se trenutno ukvarjate?,4. Cu ce te ocupi momentan?
5,platforms,Which of the following platforms do you use the most?,multi select,5. Quines de les següents plataformes utilitzes més sovint?,5. Ποιες από τις παρακάτω πλατφόρμες χρησιμοποιείτε περισσότερο;,5. ¿Cuáles de las siguientes plataformas utilizas más?,5. Koje platforme najčešće koristite?,5. Quali delle seguenti piattaforme utilizzi di più?,5. Quais são as redes sociais que mais usas?,5. Katere platforme uporabljate najpogosteje?,5. Care sunt platformele de socializare online pe care le folosești cel mai des?
6,actions_done,Have you ever done any of the following online?,multi select,6. Alguna vegada has actuat d’aquesta manera a internet o xarxes socials?,6. Έχετε κάνει ποτέ κάτι από τα παρακάτω στο διαδίκτυο;,6. ¿Alguna vez has hecho algo de esto mientras estabas en internet o redes sociales?,6. Jeste li ikada učinili online nešto od sljedećeg?,6. Hai mai fatto una di queste cose online?,"6. Já alguma vez fizeste, online, alguma das seguintes opções?",6. Ste že kdaj na spletu storili kaj od spodaj naštetega?,6. Ai făcut vreodată una dintre următoarele activități online?
7,agree_sentences,Select the sentences you agree with,multi select,7. Selecciona les frases amb les quals estiguis d’acord,7. Επιλέξτε τις φράσεις με τις οποίες συμφωνείτε:,7. Selecciona las frases con las que estés de acuerdo,7. Označite rečenice s kojima se slažete,7. Seleziona le frasi con cui sei d'accordo,7. Com quais destas frases concordas?,"7. Izberite stavke, s katerimi se strinjate",7. Selectează enunțurile cu care ești de acord
8,heard_term,"Have you ever heard the term ""online body shaming""?",single select,8. Has sentit a parlar sobre el terme “humiliació corporal a internet” o “online body shaming”?,"8. Έχετε ακούσει ποτέ τον όρο ""online body shaming"" (Ρητορική μίσους στο διαδίκτυο με βάση την εμφάνιση);","8. ¿Alguna vez has escuchado el término “humillación corporal” en internet o ""on-line body shaming”?","8. Jeste li ikada čuli za pojam ""online posramljivanje tijela"" (body shaming)?","8. Hai mai sentito il termine ""body shaming online""?",8. Já ouviste falar de body shaming online?,8. Ali ste že slišali za izraz spletni „body shaming“?,"8. Ai auzit vreodată de termenul “online body shaming"" (criticarea corpului în mediul online)?"
9,interpretation,How would you describe it in your words?,free text,9. Pots descriure aquest terme amb les teves pròpies paraules?,9. Μπορείτε να περιγράψετε τον όρο με δικά σας λόγια;,9. ¿Cómo lo describirías con tus propias palabras?,9. Kako biste ga opisali vlastitim riječima?,9. Come lo descriveresti con le tue parole?,9. Podes descrever body shaming online por palavras tuas?,9. Kako bi ga opisali z lastnimi besedami?,9. Cum ai descrie acest fenomen?
10,reasons,What do you think are the main reasons for online body shaming?,free text,10. Quines creus que són les principals causes de la humiliació corporal a internet?,10. Ποιοι πιστεύετε ότι είναι οι κύριοι λόγοι για το online body shaming (Ρητορική μίσους στο διαδίκτυο με βάση την εμφάνιση);,10. ¿Cuáles crees que son las principales causas de la humillación corporal en internet?,"10. Koji su, prema vašem mišljenju, glavni razlozi za online posramljivanje tijela (body shaming)?",10. Quali pensi siano le principali ragioni del body shaming online?,"10. Na tua opinião, que são as principais razões para o body shaming online?","10. Kaj menite, kateri so glavni razlogi za spletni „body shaming“?",10. Care crezi că sunt principalele motive pentru online body shaming?
